id,rainfall
2190,1.0
2191,1.0
2192,1.0
2193,0.0
2194,0.0
2195,1.0
2196,1.0
2197,1.0
2198,1.0
2199,1.0
2200,1.0
2201,0.0
2202,1.0
2203,1.0
2204,0.0
2205,0.0
2206,1.0
2207,1.0
2208,0.0
2209,0.0
2210,0.0
2211,0.0
2212,1.0
2213,1.0
2214,1.0
2215,0.0
2216,0.0
2217,1.0
2218,1.0
2219,0.0
2220,1.0
2221,1.0
2222,1.0
2223,1.0
2224,1.0
2225,1.0
2226,0.0
2227,1.0
2228,1.0
2229,1.0
2230,1.0
2231,1.0
2232,0.0
2233,1.0
2234,1.0
2235,0.0
2236,0.0
2237,1.0
2238,0.0
2239,1.0
2240,1.0
2241,1.0
2242,1.0
2243,1.0
2244,1.0
2245,1.0
2246,1.0
2247,1.0
2248,1.0
2249,1.0
2250,1.0
2251,1.0
2252,1.0
2253,1.0
2254,0.0
2255,0.0
2256,0.0
2257,1.0
2258,1.0
2259,0.0
2260,1.0
2261,1.0
2262,1.0
2263,1.0
2264,1.0
2265,1.0
2266,1.0
2267,1.0
2268,0.0
2269,1.0
2270,1.0
2271,1.0
2272,0.0
2273,1.0
2274,1.0
2275,1.0
2276,1.0
2277,1.0
2278,1.0
2279,1.0
2280,1.0
2281,1.0
2282,1.0
2283,1.0
2284,1.0
2285,1.0
2286,1.0
2287,1.0
2288,1.0
2289,1.0
2290,1.0
2291,1.0
2292,1.0
2293,1.0
2294,1.0
2295,1.0
2296,1.0
2297,1.0
2298,1.0
2299,1.0
2300,1.0
2301,1.0
2302,1.0
2303,1.0
2304,1.0
2305,1.0
2306,1.0
2307,1.0
2308,1.0
2309,1.0
2310,1.0
2311,1.0
2312,1.0
2313,0.0
2314,1.0
2315,0.0
2316,1.0
2317,1.0
2318,1.0
2319,1.0
2320,1.0
2321,1.0
2322,1.0
2323,1.0
2324,1.0
2325,1.0
2326,1.0
2327,1.0
2328,1.0
2329,1.0
2330,1.0
2331,1.0
2332,0.0
2333,1.0
2334,1.0
2335,1.0
2336,1.0
2337,0.0
2338,1.0
2339,1.0
2340,1.0
2341,1.0
2342,1.0
2343,0.0
2344,1.0
2345,1.0
2346,1.0
2347,1.0
2348,1.0
2349,1.0
2350,1.0
2351,1.0
2352,0.0
2353,0.0
2354,0.0
2355,1.0
2356,1.0
2357,1.0
2358,1.0
2359,0.0
